exp,inoc,sal,trait,mean,sd
iso,IS-02,150,protein,123.84,0.15
iso,IS-03,150,protein,128.65,0.15
iso,IS-04,150,protein,133.45,0.15
iso,IS-05,150,protein,138.26,0.15
iso,IS-06,150,protein,143.06,0.15
con,Control,0,protein,215.15,0.15
con,C1-3,0,protein,200.74,0.15
con,C1-5,0,protein,205.54,0.15
con,C2-3,0,protein,210.35,0.15
con,C2-5,0,protein,215.15,0.15
con,C4-5,0,protein,224.77,0.15
con,Control,50,protein,133.45,0.15
con,C1-3,50,protein,181.51,0.15
con,C1-5,50,protein,195.93,0.15
con,C2-3,50,protein,200.74,0.15
con,C2-5,50,protein,205.54,0.15
con,C4-5,50,protein,215.15,0.15
con,Control,100,protein,104.62,0.15
con,C1-3,100,protein,162.29,0.15
con,C1-5,100,protein,181.51,0.15
con,C2-3,100,protein,186.32,0.15
con,C2-5,100,protein,191.12,0.15
con,C4-5,100,protein,200.74,0.15
con,Control,150,protein,85.39,0.15
con,C1-3,150,protein,128.65,0.15
con,C1-5,150,protein,133.45,0.15
con,C2-3,150,protein,138.26,0.15
con,C2-5,150,protein,162.29,0.15
con,C4-5,150,protein,181.51,0.15
iso,Control,0,sugar,97.9,0.15
iso,IS-01,0,sugar,78.77,0.15
iso,IS-02,0,sugar,85.73,0.15
iso,IS-03,0,sugar,90.94,0.15
iso,IS-04,0,sugar,92.68,0.15
iso,IS-05,0,sugar,94.42,0.15
iso,IS-06,0,sugar,96.16,0.15
iso,Control,50,sugar,68.34,0.15
iso,IS-01,50,sugar,71.82,0.15
iso,IS-02,50,sugar,78.77,0.15
iso,IS-03,50,sugar,83.99,0.15
iso,IS-04,50,sugar,85.73,0.15
iso,IS-05,50,sugar,87.47,0.15
iso,IS-06,50,sugar,89.21,0.15
iso,Control,100,sugar,49.21,0.15
iso,IS-01,100,sugar,68.34,0.15
iso,IS-02,100,sugar,75.3,0.15
iso,IS-03,100,sugar,80.51,0.15
iso,IS-04,100,sugar,82.25,0.15
iso,IS-05,100,sugar,85.73,0.15
iso,IS-06,100,sugar,87.47,0.15
iso,Control,150,sugar,31.83,0.15
iso,IS-01,150,sugar,56.17,0.15
iso,IS-02,150,sugar,71.82,0.15
iso,IS-03,150,sugar,73.56,0.15
iso,IS-04,150,sugar,78.77,0.15
iso,IS-05,150,sugar,82.25,0.15
iso,IS-06,150,sugar,85.73,0.15
con,Control,0,sugar,97.9,
con,C1-3,0,sugar,94.42,
con,C1-5,0,sugar,96.16,
con,C2-3,0,sugar,97.9,
con,C2-5,0,sugar,99.64,
con,C4-5,0,sugar,101.38,
con,Control,50,sugar,68.34,
con,C1-3,50,sugar,87.47,
con,C1-5,50,sugar,90.94,
con,C2-3,50,sugar,94.42,
con,C2-5,50,sugar,96.16,
con,C4-5,50,sugar,99.64,
con,Control,100,sugar,49.21,
